RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
66,1009,-250.0,215.0,40.0,215.0,563,68,33,1,True,3,1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,172.72,175.26,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,0,2,4,2,4,0,12,1,165.1,170.18,125,34,31,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,-4.41,-0.8,-2.61,0.0,9.0,0.0,1,5,28,2.0,118,425.0,300.0,800.0,150.0,2500.0,400.0,350.0
1441,718,-210.0,295.0,47.619,295.0,563,68,33,1,False,8,1,3,0,8,0,5.5,0.55,0.3,0.77,0.55,8,0,20,0,0,1,4,3,0,0,8,1,190.5,187.96,170,0,6,0,4.12,0.61,1.8,1.49,0.29,6,0,11,0,0,0,0,1,5,0,6,1,185.42,195.58,170,30,27,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,1.38,-1.5,-0.72,0.0,7.0,3.0,1,6,26,5.0,293,1500.0,250.0,650.0,180.0,3000.0,240.0,700.0
307,67,-380.0,300.0,26.3158,300.0,563,68,33,1,False,4,1,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,0,1,4,6,1,0,12,1,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,0,0,3,4,2,0,9,1,193.04,205.74,245,34,36,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,-0.36,-0.3,-0.13,0.0,3.0,2.0,1,4,26,3.0,293,900.0,-160.0,450.0,1100.0,3000.0,350.0,1100.0
221,1071,-950.0,625.0,10.5263,625.0,563,68,33,1,False,2,1,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,0,0,0,0,1,0,1,2,175.26,177.8,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,1,0,5,0,1,0,7,2,177.8,177.8,145,30,36,1,0,-5,-6,0,-15,0,0,0,-2.54,0.0,6,1.44,-1.1,-2.98,0.0,9.0,13.0,1,1,6,3.0,32,639.0,-200.0,1100.0,380.0,1400.0,500.0,4000.0
1183,524,-130.0,110.0,76.9231,110.0,563,68,33,0,False,2,1,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,0,0,0,4,0,0,4,1,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,1,0,1,1,2,0,5,1,175.26,182.88,145,36,33,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,-1.84,-0.2,-0.25,0.0,9.0,7.0,2,1,6,3.0,194,801.0,275.0,550.0,500.0,700.0,300.0,250.0
447,129,-380.0,300.0,26.3158,300.0,563,68,33,1,False,5,1,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,0,1,1,7,6,0,15,1,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,2,193.04,195.58,205,34,36,1,-1,-3,8,8,42,-1,3,5,0.0,-2.54,2,-1.63,0.3,0.11,0.0,13.0,12.0,1,1,27,2.0,279,586.0,250.0,750.0,1200.0,1200.0,-125.0,800.0
1575,1754,-650.0,-162.0,15.3846,61.7284,563,68,33,1,False,8,1,3,0,4,0,3.11,0.61,0.6,4.89,0.65,4,1,12,0,0,0,3,1,0,0,4,1,185.42,195.58,170,1,0,0,5.07,0.52,0.6,1.0,0.53,6,6,47,0,0,1,1,8,5,0,15,1,180.34,190.5,170,33,33,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,-1.96,0.0,3.89,0.0,9.0,14.0,1,5,0,1.0,45,52.0,450.0,130.0,450.0,900.0,600.0,450.0
1165,79,-238.0,195.0,42.0168,195.0,563,68,33,1,False,2,1,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,0,2,7,2,4,0,16,1,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,0,1,7,0,0,0,8,1,170.18,182.88,145,30,35,0,-7,1,8,4,33,5,2,4,0.0,-2.54,5,0.18,0.5,-2.44,0.0,9.0,5.0,1,6,26,3.0,293,900.0,-135.0,275.0,1600.0,1100.0,550.0,1600.0
1291,247,150.0,-180.0,150.0,55.5556,563,68,33,0,False,8,1,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,0,0,1,3,2,0,6,1,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,0,1,6,3,3,0,13,1,190.5,198.12,170,34,30,0,0,-1,-7,-4,-27,0,0,-1,-5.08,-2.54,-4,1.06,-0.1,0.24,0.0,9.0,7.0,2,4,26,3.0,293,900.0,400.0,185.0,1000.0,550.0,450.0,300.0
297,589,-112.0,-108.0,89.2857,92.5926,563,68,33,0,False,1,1,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,0,1,3,4,0,0,8,2,185.42,190.5,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,0,0,5,4,3,0,12,1,187.96,198.12,185,40,37,0,0,-7,-4,1,-2,-5,0,-3,-2.54,-7.62,-3,0.23,-0.7,-1.65,0.0,9.0,7.0,2,1,27,2.0,284,591.0,150.0,200.0,1000.0,1800.0,650.0,380.0
